Buchungsdatum;Konto;Bezeichnung;Soll (EUR);Haben (EUR);Beleg
2024-01-24;6000;Personalaufwand;24816,07;;BEL-2024-3088
2024-10-03;6200;Kfz-Kosten;21239,67;;BEL-2024-3089
2024-11-14;6800;Bürobedarf;21300,75;;BEL-2024-3090
2024-12-02;4400;Umsatzerlöse Transport;;18184,23;BEL-2024-3091
2024-07-21;6300;Miete Lagerfläche;10477,38;;BEL-2024-3092
2024-06-22;6300;Miete Lagerfläche;23407,96;;BEL-2024-3093
2024-07-01;6800;Bürobedarf;16309,43;;BEL-2024-3094
2024-04-12;4401;Umsatzerlöse Lagerung;;32916,00;BEL-2024-3095
2024-05-22;6200;Kfz-Kosten;16306,20;;BEL-2024-3096
2024-10-04;6300;Miete Lagerfläche;11370,08;;BEL-2024-3097
2024-10-05;6800;Bürobedarf;8846,00;;BEL-2024-3098
2024-10-04;6000;Personalaufwand;8568,71;;BEL-2024-3099
2024-05-09;6800;Bürobedarf;45831,33;;BEL-2024-3100
2024-10-03;4400;Umsatzerlöse Transport;;23726,01;BEL-2024-3101
2024-03-09;6800;Bürobedarf;19071,40;;BEL-2024-3102
2024-06-02;6300;Miete Lagerfläche;21730,92;;BEL-2024-3103
2024-11-22;6800;Bürobedarf;12143,59;;BEL-2024-3104
2024-01-13;6300;Miete Lagerfläche;10254,12;;BEL-2024-3105
2024-05-09;6200;Kfz-Kosten;17190,12;;BEL-2024-3106
2024-03-22;4401;Umsatzerlöse Lagerung;;1254,43;BEL-2024-3107
2024-03-24;6800;Bürobedarf;47693,36;;BEL-2024-3108
2024-04-11;4400;Umsatzerlöse Transport;;37279,94;BEL-2024-3109
2024-04-21;6200;Kfz-Kosten;33302,78;;BEL-2024-3110
2024-07-12;6300;Miete Lagerfläche;5389,42;;BEL-2024-3111
2024-05-28;6200;Kfz-Kosten;31471,67;;BEL-2024-3112
2024-06-05;4401;Umsatzerlöse Lagerung;;38257,30;BEL-2024-3113
2024-04-10;4400;Umsatzerlöse Transport;;3594,10;BEL-2024-3114
2024-05-25;6000;Personalaufwand;13391,57;;BEL-2024-3115
2024-07-14;6000;Personalaufwand;2517,96;;BEL-2024-3116
2024-05-10;6800;Bürobedarf;28140,46;;BEL-2024-3117
2024-10-24;6200;Kfz-Kosten;32932,10;;BEL-2024-3118
2024-11-23;6800;Bürobedarf;28658,81;;BEL-2024-3119
2024-01-02;4400;Umsatzerlöse Transport;;20018,42;BEL-2024-3120
2024-03-03;6800;Bürobedarf;15751,30;;BEL-2024-3121
2024-12-08;6300;Miete Lagerfläche;37671,88;;BEL-2024-3122
2024-09-14;6000;Personalaufwand;28026,47;;BEL-2024-3123
2024-08-03;6000;Personalaufwand;31934,54;;BEL-2024-3124
2024-06-05;4401;Umsatzerlöse Lagerung;;1387,15;BEL-2024-3125
2024-03-05;4401;Umsatzerlöse Lagerung;;31640,02;BEL-2024-3126
2024-04-01;6200;Kfz-Kosten;18036,98;;BEL-2024-3127
2024-11-16;4401;Umsatzerlöse Lagerung;;45872,71;BEL-2024-3128
2024-07-20;6200;Kfz-Kosten;5069,84;;BEL-2024-3129
2024-11-09;4400;Umsatzerlöse Transport;;47307,02;BEL-2024-3130
2024-11-17;6200;Kfz-Kosten;46803,18;;BEL-2024-3131
2024-10-08;6000;Personalaufwand;46546,59;;BEL-2024-3132
2024-03-25;4400;Umsatzerlöse Transport;;18704,83;BEL-2024-3133
2024-11-18;6200;Kfz-Kosten;10762,76;;BEL-2024-3134
2024-02-17;4401;Umsatzerlöse Lagerung;;6450,28;BEL-2024-3135
2024-03-18;4400;Umsatzerlöse Transport;;33018,77;BEL-2024-3136
2024-07-14;4401;Umsatzerlöse Lagerung;;47035,33;BEL-2024-3137
2024-10-18;6000;Personalaufwand;44796,79;;BEL-2024-3138
2024-06-15;4400;Umsatzerlöse Transport;;6029,51;BEL-2024-3139
2024-04-14;6200;Kfz-Kosten;40336,60;;BEL-2024-3140
2024-04-01;4400;Umsatzerlöse Transport;;15511,48;BEL-2024-3141
2024-08-04;4400;Umsatzerlöse Transport;;41189,77;BEL-2024-3142
2024-01-20;4400;Umsatzerlöse Transport;;1188,34;BEL-2024-3143
2024-09-09;4401;Umsatzerlöse Lagerung;;3814,72;BEL-2024-3144
2024-10-04;6800;Bürobedarf;46414,98;;BEL-2024-3145
2024-06-18;6200;Kfz-Kosten;35231,23;;BEL-2024-3146
2024-02-23;6200;Kfz-Kosten;6257,29;;BEL-2024-3147
2024-07-10;6800;Bürobedarf;12198,96;;BEL-2024-3148
2024-02-26;6000;Personalaufwand;14621,00;;BEL-2024-3149
2024-07-03;4400;Umsatzerlöse Transport;;3006,91;BEL-2024-3150
2024-11-13;6300;Miete Lagerfläche;435,06;;BEL-2024-3151
2024-08-28;6300;Miete Lagerfläche;31484,62;;BEL-2024-3152
2024-08-11;4400;Umsatzerlöse Transport;;46704,44;BEL-2024-3153
2024-11-12;6000;Personalaufwand;6260,85;;BEL-2024-3154
2024-11-13;6300;Miete Lagerfläche;23889,53;;BEL-2024-3155
2024-03-07;6200;Kfz-Kosten;18001,30;;BEL-2024-3156
2024-01-23;4401;Umsatzerlöse Lagerung;;31273,77;BEL-2024-3157
2024-06-09;6000;Personalaufwand;21347,60;;BEL-2024-3158
2024-02-03;4401;Umsatzerlöse Lagerung;;9788,91;BEL-2024-3159
2024-01-15;6000;Personalaufwand;26887,84;;BEL-2024-3160
2024-12-12;6800;Bürobedarf;4253,02;;BEL-2024-3161
2024-11-04;6200;Kfz-Kosten;47262,72;;BEL-2024-3162
2024-12-22;6000;Personalaufwand;38321,43;;BEL-2024-3163
2024-11-25;6200;Kfz-Kosten;14755,96;;BEL-2024-3164
2024-12-05;4400;Umsatzerlöse Transport;;43143,19;BEL-2024-3165
2024-07-27;6300;Miete Lagerfläche;474,88;;BEL-2024-3166
2024-12-22;4401;Umsatzerlöse Lagerung;;30612,65;BEL-2024-3167
2024-03-23;6200;Kfz-Kosten;31296,17;;BEL-2024-3168
2024-05-13;6000;Personalaufwand;11431,12;;BEL-2024-3169
2024-07-15;4401;Umsatzerlöse Lagerung;;29785,79;BEL-2024-3170
2024-06-20;4401;Umsatzerlöse Lagerung;;1276,46;BEL-2024-3171
2024-12-07;6200;Kfz-Kosten;12853,05;;BEL-2024-3172
2024-04-03;6200;Kfz-Kosten;17925,43;;BEL-2024-3173
2024-04-05;6800;Bürobedarf;11972,80;;BEL-2024-3174
2024-09-12;4401;Umsatzerlöse Lagerung;;16625,63;BEL-2024-3175
2024-12-14;6800;Bürobedarf;13294,51;;BEL-2024-3176
2024-07-19;4400;Umsatzerlöse Transport;;6870,77;BEL-2024-3177
2024-03-08;6200;Kfz-Kosten;7836,60;;BEL-2024-3178
2024-06-25;6000;Personalaufwand;15091,82;;BEL-2024-3179
2024-02-16;6000;Personalaufwand;21736,03;;BEL-2024-3180
2024-05-04;6000;Personalaufwand;44623,30;;BEL-2024-3181
2024-05-21;6200;Kfz-Kosten;32840,58;;BEL-2024-3182
2024-03-09;6300;Miete Lagerfläche;13074,19;;BEL-2024-3183
2024-10-05;6000;Personalaufwand;42394,06;;BEL-2024-3184
2024-02-05;6300;Miete Lagerfläche;8038,55;;BEL-2024-3185
2024-05-03;4401;Umsatzerlöse Lagerung;;25668,46;BEL-2024-3186
2024-07-16;6800;Bürobedarf;15715,87;;BEL-2024-3187
2024-08-21;6200;Kfz-Kosten;32658,07;;BEL-2024-3188
2024-08-28;4400;Umsatzerlöse Transport;;2357,19;BEL-2024-3189
2024-02-12;6300;Miete Lagerfläche;8254,63;;BEL-2024-3190
2024-08-06;6200;Kfz-Kosten;22043,92;;BEL-2024-3191
2024-03-17;4401;Umsatzerlöse Lagerung;;5445,32;BEL-2024-3192
2024-10-05;6300;Miete Lagerfläche;41546,22;;BEL-2024-3193
2024-09-20;4401;Umsatzerlöse Lagerung;;6453,60;BEL-2024-3194
2024-04-12;6000;Personalaufwand;26144,44;;BEL-2024-3195
2024-08-24;4400;Umsatzerlöse Transport;;18631,66;BEL-2024-3196
2024-05-21;6800;Bürobedarf;44437,13;;BEL-2024-3197
2024-06-16;6200;Kfz-Kosten;38836,79;;BEL-2024-3198
2024-01-22;6800;Bürobedarf;3546,17;;BEL-2024-3199
2024-08-18;6300;Miete Lagerfläche;9247,33;;BEL-2024-3200
2024-12-09;6800;Bürobedarf;6859,37;;BEL-2024-3201
2024-06-22;4400;Umsatzerlöse Transport;;17294,17;BEL-2024-3202
2024-06-08;6200;Kfz-Kosten;19019,73;;BEL-2024-3203
2024-02-25;6300;Miete Lagerfläche;29268,05;;BEL-2024-3204
2024-02-21;4401;Umsatzerlöse Lagerung;;4024,37;BEL-2024-3205
2024-07-07;4400;Umsatzerlöse Transport;;36912,53;BEL-2024-3206
2024-05-09;6300;Miete Lagerfläche;14148,95;;BEL-2024-3207
2024-03-22;4400;Umsatzerlöse Transport;;6680,19;BEL-2024-3208
2024-07-03;6200;Kfz-Kosten;11067,16;;BEL-2024-3209
2024-03-22;6800;Bürobedarf;6598,30;;BEL-2024-3210
2024-03-05;4401;Umsatzerlöse Lagerung;;3057,24;BEL-2024-3211
2024-06-13;4401;Umsatzerlöse Lagerung;;29904,91;BEL-2024-3212
2024-10-25;6800;Bürobedarf;5674,47;;BEL-2024-3213
2024-07-04;6300;Miete Lagerfläche;29133,26;;BEL-2024-3214
2024-03-06;6000;Personalaufwand;45326,78;;BEL-2024-3215
2024-09-28;6200;Kfz-Kosten;36536,10;;BEL-2024-3216
2024-01-28;4400;Umsatzerlöse Transport;;28793,05;BEL-2024-3217
2024-04-27;6000;Personalaufwand;17604,91;;BEL-2024-3218
2024-04-27;4401;Umsatzerlöse Lagerung;;42362,40;BEL-2024-3219
2024-04-23;6000;Personalaufwand;38263,43;;BEL-2024-3220
2024-03-21;6300;Miete Lagerfläche;24399,11;;BEL-2024-3221
2024-04-05;6300;Miete Lagerfläche;3850,64;;BEL-2024-3222
2024-08-08;4401;Umsatzerlöse Lagerung;;6434,86;BEL-2024-3223
2024-05-09;6300;Miete Lagerfläche;27427,33;;BEL-2024-3224
2024-02-09;4401;Umsatzerlöse Lagerung;;22245,86;BEL-2024-3225
2024-06-01;6300;Miete Lagerfläche;18219,98;;BEL-2024-3226
2024-05-07;6000;Personalaufwand;14891,78;;BEL-2024-3227
2024-05-07;6300;Miete Lagerfläche;25981,78;;BEL-2024-3228
2024-06-16;6800;Bürobedarf;40234,10;;BEL-2024-3229
2024-09-19;6200;Kfz-Kosten;8753,71;;BEL-2024-3230
2024-12-08;4400;Umsatzerlöse Transport;;14331,09;BEL-2024-3231
2024-04-03;4400;Umsatzerlöse Transport;;2612,77;BEL-2024-3232
2024-02-04;6300;Miete Lagerfläche;45109,64;;BEL-2024-3233
2024-02-08;4400;Umsatzerlöse Transport;;34391,33;BEL-2024-3234
2024-12-02;4401;Umsatzerlöse Lagerung;;32323,76;BEL-2024-3235
2024-03-26;4400;Umsatzerlöse Transport;;16290,01;BEL-2024-3236
2024-11-26;4400;Umsatzerlöse Transport;;45044,62;BEL-2024-3237
2024-07-05;6200;Kfz-Kosten;23294,99;;BEL-2024-3238
2024-10-18;6200;Kfz-Kosten;8165,29;;BEL-2024-3239
2024-01-25;6000;Personalaufwand;42790,00;;BEL-2024-3240
